,linie,richtung,betriebsdatum,fahrzeug,kurs,seq_von,halt_diva_von,halt_punkt_diva_von,halt_kurz_von1,datum_von,soll_an_von,ist_an_von,soll_ab_von,ist_ab_von,seq_nach,halt_diva_nach,halt_punkt_diva_nach,halt_kurz_nach1,datum_nach,soll_an_nach,ist_an_nach1,soll_ab_nach,ist_ab_nach,fahrt_id,fahrweg_id,fw_no,fw_typ,fw_kurz,fw_lang,umlauf_von,halt_id_von,halt_id_nach,halt_punkt_id_von,halt_punkt_id_nach,arrivelate
5750,33,1,21.09.15,10154,9,18,2158,10,SPLA,21.09.15,34746,34834,34764,34852,19,2108,12,ROTB,21.09.15,34800,34881,34812,34900,353937,11671,1,1,1,BTIE - TRIE,103535,1539,2752,3438,6553,81
5751,9,1,21.09.15,2087,2,16,2924,0,WINK,21.09.15,44754,44776,44778,44801,17,1098,0,HALB,21.09.15,44814,44853,44838,44863,350888,5112,1,1,1,HIRZ - HEUR,103781,2293,2258,5238,5139,39
5752,15,1,21.09.15,2051,5,10,2113,0,RBRU,21.09.15,49200,49194,49236,49212,11,2030,0,RATH,21.09.15,49266,49252,49302,49266,351693,4624,1,1,1,BUCH - KLUS,104138,2768,2774,6587,6605,-14
5753,15,1,21.09.15,2051,5,17,2124,2,ROEM,21.09.15,57018,56968,57048,56985,18,1278,0,HOEL,21.09.15,57090,57030,57114,57042,351697,4624,1,1,1,BUCH - KLUS,104138,1531,1406,6146,6114,-60
5754,912,1,21.09.15,11660,1,1,1845,50,OPER,21.09.15,53310,53361,53310,53361,2,1456,0,KRES,21.09.15,53376,53465,53412,53473,182155,16384,19,1,19,OPER - ITFA wenden OPER,97226,2104,2612,8096,5952,89
5755,912,1,21.09.15,11660,1,21,1341,50,ITDO,21.09.15,79764,79813,79782,79825,22,1342,50,ITFA,21.09.15,79902,79876,79902,80273,182169,16384,19,1,19,OPER - ITFA wenden OPER,97226,2548,2549,6221,6223,-26
5756,75,2,21.09.15,10426,6,3,3789,21,BOLL,21.09.15,51540,51628,51558,51645,4,3804,21,NBRU,21.09.15,51594,51685,51612,51685,53552,13276,52,1,52,BOEN - SEPL neue Fz.,93879,2763,2609,6576,5943,91
5757,78,2,21.09.15,10616,2,8,2033,21,RAUH,21.09.15,70554,70623,70566,70635,9,2152,21,SALZ,21.09.15,70590,70664,70602,70674,353085,4269,2,1,2,BAEN - DUNK,104427,2542,2546,5895,5907,74
5758,67,2,21.09.15,10617,5,6,1503,21,LANG,21.09.15,73962,74082,73980,74092,7,2147,20,SACK,21.09.15,74016,74139,74028,74145,52902,4780,12,1,12,SWIE - DUNK (Aufenthalt),91610,2862,2829,6827,9349,123
5759,2,1,21.09.15,2061,6,23,917,0,FROE,21.09.15,49014,49003,49044,49017,24,2907,0,WILD,21.09.15,49074,49058,49098,49066,349770,4399,1,1,1,FARB - BTIE,104126,2680,2651,6373,6056,-16
5760,32,2,20.09.15,10080,1,1,2596,10,STRV,20.09.15,85440,85439,85440,85440,2,1143,11,HEGA,20.09.15,85482,85480,85494,85480,346157,4327,2,1,2,STRV - HOLZ,104041,2714,2836,6463,6762,-2
5761,303,2,20.09.15,11442,2,10,2406,51,SOME,20.09.15,82770,82765,82788,82765,11,657,53,BDIE,20.09.15,82848,82851,83040,83032,432530,11841,4,1,4,SCHL - SCEN,106369,2042,1312,4619,2883,3
5762,9,2,20.09.15,3050,1,14,1472,3,KUNS,20.09.15,81042,81096,81096,81109,15,1359,1,KANT,20.09.15,81138,81192,81162,81199,341708,5113,2,1,2,HEUR - HIRZ,104583,1305,2571,6133,6282,54
5763,75,1,20.09.15,10427,4,10,6250,20,HIMM,20.09.15,55212,55287,55230,55301,11,3804,20,NBRU,20.09.15,55290,55372,55308,55382,25194,12098,1,1,1,SEPL - BOEN,90784,2847,2609,6792,5942,82
5764,69,2,20.09.15,10274,1,7,1316,21,IWIN,20.09.15,51714,51722,51726,51722,8,1280,21,HOEB,20.09.15,51774,51768,51804,51776,24896,9887,2,1,2,MIBU - ETHH,92329,2834,2610,6759,5946,-6
5765,64,1,24.09.15,10313,1,2,6117,20,SRIE,24.09.15,75540,75562,75552,75562,3,3804,20,NBRU,24.09.15,75582,75600,75594,75600,51602,11664,1,1,1,MAIL - BOEN,91073,2743,2609,6529,5942,18
5766,2,1,24.09.15,2075,8,14,2396,0,SIHS,24.09.15,44610,44646,44652,44663,15,1861,0,PARA,24.09.15,44712,44752,44772,44776,349834,4399,1,1,1,FARB - BTIE,104598,2657,1528,6066,3390,40
5767,33,2,24.09.15,10539,4,2,1320,11,IDEY,24.09.15,28500,28498,28512,28512,3,3155,11,ALTW,24.09.15,28566,28563,28584,28578,352991,11890,2,1,2,TRIE - BTIE,104735,2851,2840,6802,6770,-3
5768,33,1,24.09.15,10539,4,1,3041,10,BTIE,24.09.15,70020,69995,70020,69995,2,2907,1,WILD,24.09.15,70068,70065,70080,70074,353006,11671,1,1,1,BTIE - TRIE,104735,2788,2651,6639,6055,-3
5769,63,1,24.09.15,10413,13,7,708,20,DREI,24.09.15,31866,31860,31884,31872,8,114,20,AUBR,24.09.15,31944,31963,31962,31970,52087,2779,1,1,1,BOER - SCHW,94244,2435,1846,5578,4141,19
5770,46,1,24.09.15,10161,2,11,2035,10,REBE,24.09.15,22512,22704,22530,22713,12,1528,10,LEHE,24.09.15,22572,22767,22596,22769,353335,4714,1,1,1,RUET - BQUA,103958,2778,2563,6611,6257,195
5771,46,1,24.09.15,10151,3,9,2306,0,SCHT,24.09.15,75636,75685,75660,75696,10,1379,10,KEMP,24.09.15,75696,75760,75708,75760,353381,4714,1,1,1,RUET - BQUA,103712,2804,2629,6680,5998,64
5772,69,1,24.09.15,10535,4,1,735,21,ETHH,24.09.15,27480,27200,27480,27487,2,1280,20,HOEB,24.09.15,27522,27549,27546,27564,435122,4782,1,1,1,ETHH - MIBU,106272,2666,2610,6090,5944,27
5773,69,2,24.09.15,10416,1,4,2803,21,WAIS,24.09.15,65928,65951,65958,65960,5,1441,21,PKAE,24.09.15,65994,65994,66012,65994,434880,9887,2,1,2,MIBU - ETHH,106320,2619,2579,5975,6309,0
5774,165,1,23.09.15,10560,14,11,3775,50,BEND,23.09.15,53700,53755,53718,53763,12,2262,50,SORU,23.09.15,53766,53815,53784,53830,58693,9023,1,1,1,BURK - RPAR,93862,1524,2552,3374,6234,49
